Address,AddressWithCountry,Country
"5, BJ HUERTAS, 26330","5, BJ HUERTAS, 26330, ES",ES
"26, CL SAN JOSE, 18184","26, CL SAN JOSE, 18184, ES",ES
"30, PD LO SAAVEDRA, 3170","30, PD LO SAAVEDRA, 3170, ES",ES
"13A, BO BIMON, 39213","13A, BO BIMON, 39213, ES",ES
"14, CL ATALAYA, 11500","14, CL ATALAYA, 11500, ES",ES
"1, PZ SOL, 50162","1, PZ SOL, 50162, ES",ES
"16, CL NORTE (C VILLAS), 28754","16, CL NORTE (C VILLAS), 28754, ES",ES
"28, PL POLIGONO N  2, 46850","28, PL POLIGONO N  2, 46850, ES",ES
"2D, CL MENENDEZ PELAYO, 33012","2D, CL MENENDEZ PELAYO, 33012, ES",ES
"15, AVENIDA VILLAR, Corella, Corella, Navarra, 31591","15, AVENIDA VILLAR, Corella, Corella, Navarra, 31591, ES",ES
"2, AL CASANUÑEZ, 32767","2, AL CASANUÑEZ, 32767, ES",ES
"25, PZ SANTIAGO, 47400","25, PZ SANTIAGO, 47400, ES",ES
"7, CL MAYOR, 19412","7, CL MAYOR, 19412, ES",ES
"3, BO BARRIO NUEVO, 40109","3, BO BARRIO NUEVO, 40109, ES",ES
"57, CL SAN PEDRO, 3140","57, CL SAN PEDRO, 3140, ES",ES
"8, CL CARRIL 3C(PAGO POZUELA)","8, CL CARRIL 3C(PAGO POZUELA), ES",ES
"60, CL IGLESIA STA COL, 49394","60, CL IGLESIA STA COL, 49394, ES",ES
"9, CL LEPANTO, 50660","9, CL LEPANTO, 50660, ES",ES
"15, PZ JUAN ANTONIO BU, 19280","15, PZ JUAN ANTONIO BU, 19280, ES",ES
"6, CM RAÑEIRA, 36208","6, CM RAÑEIRA, 36208, ES",ES
"8, CL VIRGEN DEL PINO (VALLE SAN LOREN), 38626","8, CL VIRGEN DEL PINO (VALLE SAN LOREN), 38626, ES",ES
"83, AV APAREJADORES","83, AV APAREJADORES, ES",ES
"20, CL HINOJO - EL ALGAR (CARTAGENA), 30366","20, CL HINOJO - EL ALGAR (CARTAGENA), 30366, ES",ES
"5, CL ALFONSO XIII (SAN GINES), 30169","5, CL ALFONSO XIII (SAN GINES), 30169, ES",ES
"13A, BO BIMON, 39213","13A, BO BIMON, 39213, ES",ES
"2, CL DOLORES IBARRURI, 29470","2, CL DOLORES IBARRURI, 29470, ES",ES
"15, CL RE FRANCISCO HDEZ BORONDO (GRACIA), 38205","15, CL RE FRANCISCO HDEZ BORONDO (GRACIA), 38205, ES",ES
"12, CL MEDIO CABA/AS A, 49592","12, CL MEDIO CABA/AS A, 49592, ES",ES
"18, CL ALEJANDRO DAVILA LEON, 35212","18, CL ALEJANDRO DAVILA LEON, 35212, ES",ES
"7A, CL AGRAMESON, 18183","7A, CL AGRAMESON, 18183, ES",ES
"13, DS CARRASQUILLA (CARRASQUILLA), 30815","13, DS CARRASQUILLA (CARRASQUILLA), 30815, ES",ES
"13, LG VEGA, 33345","13, LG VEGA, 33345, ES",ES
"20, CL RELLOTGE, 8923","20, CL RELLOTGE, 8923, ES",ES
"17, CL VIRGEN DE LA SANGRE, 14960","17, CL VIRGEN DE LA SANGRE, 14960, ES",ES
"5, CL ARROSPINO, 10649","5, CL ARROSPINO, 10649, ES",ES
"26, CL VIRGEN, 14450","26, CL VIRGEN, 14450, ES",ES
"12, CL PUERTO DE CANENCIA, 28260","12, CL PUERTO DE CANENCIA, 28260, ES",ES
"23, CL COLONA BARBARA HEBLES, 41439","23, CL COLONA BARBARA HEBLES, 41439, ES",ES
"203, ED APART.ALDEA VACACIONES;P.","203, ED APART.ALDEA VACACIONES;P., ES",ES
